Nucleus,Ex,T1/2,I,μ(nm),Q(b),,[Ref. Std.],Method,NSR Keynumber,Journal Reference
223Rn,0,23.2 m,7/2,-0.776(8),,,[209Rn],CFBLS,1988Ki03,PRL 60 2133 (88)
225Rn,0,4.5 m,7/2-,-0.696(8),,,[209Rn],CFBLS,1988Ki03,PRL 60 2133 (88)
202Fr,0,0.30 s,(3+),+3.90(5),,,[211Fr],CLS,2013Fl09,PRL 111 212501 (2013)
203Fr,0,0.55s,(9/2-),+3.73(4),,,[211Fr],CLS,2013Fl09,PRL 111 212501 (2013)
204Fr,0,1.8 s,3+,+4.02(6),,,[211Fr],CLS,2013Vo10,PRL 111 122501 (2013)
205Fr,0,3.9 s,9/2-,+3.81(5),,,[211Fr],CLS,2013Fl09,PRL 111 212501 (2013)
206Fr,0,16 s,3+,+3.97(6),,,[211Fr],CLS,2013Vo10,PRL 111 122501 (2013)
207Fr,0,14.8 s,9/2-,+3.89(8),,,[211Fr],ABLS,1985Co24,PL 163B 66 (85)
208Fr,0,58.6 s,7+,+4.75(10),,,[211Fr],ABLS,1985Co24/1986Ek02,PL 163B 66 (85)/PS 34 624 (86)
209Fr,0,50 s,9/2-,+3.95(8),,,[211Fr],ABLS,1985Co24/1986Ek02,PL 163B 66 (85)/PS 34 624 (86)
210Fr,0,3.2 m,6+,+4.38(5),,,[211Fr],TLS,2008GO11,PRL 100 172502 (08)
211Fr,0,3.1 m,9/2-,+4.00(8),,,,AB/D,1986Ek02,PS 34 624 (86)
212Fr,0,19.3 m,5+,+4.62(9),,,[211Fr],ABLS,1985Co24,PL 163B 66 (85)
213Fr,0,34.7 s,9/2-,+4.02(8),,,[211Fr],ABLS,1985Co24/1986Ek02,PL 163B 66 (85)/PS 34 624 (86)
214Fr,640,103 ns,11+,"+5.62(7) K, d",,,[213Fr 2538],TDPAD,1994By01,NP A567 445 (94)
212Ra,1958,10.9 μs,8+,7.10(7),,,,SOPAD,1986Ko01,PR C33 392 (86)
213Ra,0,2.7 m,1/2-,+0.613(2),,,[137Ba],CFBLS,1987Ar20/1988Ah02,PRL 59 771 (87)/NP A483 244 (88)
214Ra,1865,67μs,8+,7.08(3),,,,SOPAD,1977Be56/1978Ha50,HFI 3 397 (77)/HFI 4 219 (78)
215Ra,3757+x,800 ns,(43/2-),15.78 (15),,,,SOPAD,1989Ra17,ARTIT 52 (85)
216Ra,1508,0.5 ns,6+,g(avge) = 0.1(3),,,,TDPAD,1990Sc29,HFI 59 165 (90)
221Ra,0,30 s,5/2-,-0.180(2),,,"[213,225Ra]","CFBLS, R",1988Ah02/1987Ar20,NP A483 244 (88)/PRL 59 771 (87)
223Ra,0,11.44 d,3/2+,+0.271(2),,,"[213,225Ra]","CFBLS, R",1988Ah02/1987Ar20,NP A483 244 (88)/PRL 59 771 (87)
224Ra,84,0.74 ns,2+,+0.9(2),,,,IPAC,1973He13,ZP 260 57 (73)
225Ra,0,14.8 d,1/2-,-0.7338(15),,,[137Ba],CFBLS,1987Ar20/1988Ah02,PRL 59 771 (87)/NP A483 244 (88)
227Ra,0,42.2 m,3/2+,-0.404(2),,,"[213,225Ra]","CFBLS, R",1988Ah02/1987Ar20,NP A483 244 (88)/PRL 59 771 (87)
229Ra,0,4.0 m,5/2(+),+0.503(3),,,"[213,225Ra]","CFBLS, R",1988Ah02/1987Ar20,NP A483 244 (88)/PRL 59 771 (87)
215Ac,1621,30 ns,17/2-,7.82(16),,,,TDPAD,1983De08,ZP A310 55(83)
217Ac,0,69 ns,9/2-,+3.83(5),,,,TDPAD,1985De14,NP A436 311 (85)
227Ac,0,21.77 y,3/2-,+1.1(1),,,,O,1955Fr26,PR 98 1514 (55)/PR 111 1747 (58)
229Th,0,7340 y,5/2+,+0.46(4),,,[239Pu],O,1974Ge06,JPPa 35 483 (74)
232Th,gsband,,,g(18-24)>g(10-16),,,,TF,1992Ha03,PRL 48 383 (82)
228Pa,0,22 h,(3+),3.5(5),,,,NO/S,1989He07,NP A493 83 (89)
230Pa,0,17.4 d,(2-),2.0(2),,,,NO/S,1989He07,NP A493 83 (89)
231Pa,0,3.3x10*4y,3/2-,2.01(2),,,,ENDOR,1961Ax01,PR 121 1630 (61)
233Pa,0,27.0 d,3/2-,4.0(7),,,,NO/S,1989Ra17,ARISKP (84)
233U,0,1.6x10*5y,5/2+,μ/μ(ref),,,[235U],ABLS,1990Ga28,BRASP 54 (5) 13 (90)
235U,0,7.0x10*8y,7/2-,-0.38(3),,,,CFBLS,1983Ni08,PRL 51 1749 (83)
238U,gsband,,,g(18-24)>g(10-16),,,,TF,1992Ha03,PRL 48 383 (82)
237Np,0,2.1x10*6y,5/2+,+3.14(4),,,,"EPR, R",1970Le29,JCP 53 809 (70)
239Np,75,1.40 ns,5/2-,+2.0(3),,,[237Np 60],IPAC,1967Gu08,NP A104 588 (67)
237Pu,~2300,85 ns,(3/2),-0.68(5),,,,TDPAD,1982Ra04/1982Ra04,PRL 48 982 (82)/PRL 49 244(E) (82)
239Pu,0,2.4x10*4y,1/2+,+0.203(4),,,,AB/D,1965Fa02,PL 16 71 (65)
241Pu,0,14.4 y,5/2+,-0.683(15),,,[239Pu],O,1969Ge04,Phca 42 581 (69)
239Am,~2500,163 ns,(7/2+),(+)2.6(2),,,,TDPAD,1985Ra28,PL163B 327 (85)
241Am,0,432.7 y,5/2-,+1.58(1),,,,ABLS,1990Iz01,JRNC 143 93 (90)
242Am,0,16.0 h,1-,+0.3879(15),,,,AB/D,1966Ar04,PR 144 994 (66)
243Am,0,7370 y,5/2-,+1.503(14),,,[241Am],ABLS,1990Iz01,JRNC 143 93 (90)
243Cm,0,28.5 y,5/2+,0.40(8),,,[241Am],EPR,1973Ab03,PL 44A 527 (73)
245Cm,0,8500 y,7/2+,0.5(1),,,[241Am],EPR,1970Ab03,PR B1 3555 (70)
247Cm,0,1.6x10*7y,9/2-,0.36(7),,,[241Am],EPR,1973Ab03,PL 44A 527 (73)
249Bk,0,320 d,7/2+,2.0(4),,,[241Am],EPR,1972Bo67,PL 42A 93 (72)
253Es,0,20.4 d,7/2+,+4.10(7),,,,AB/D,1975Go05,PR A11 499 (75)
254Es,0,276 d,(7+),4.4(4),,,[253Es],NO,2009Se09,PR C79 064322 (09)
