Nucleus,Ex,T1/2,I,μ(nm),Q(b),,[Ref. Std.],Method,NSR Keynumber,Journal Reference
45K,0,20 m,3/2+,+0.1734(8),,,[39K],"AB, R",1982To02,PL 108B 169 (82)
46K,0,115 s,2-,-1.051(6),,,[39K],ABLS,1982To02,PL 108B 169 (82)
47K,0,17.5 s,1/2+,+1.933(9),,,[39K],ABLS,1982To02,PL 108B 169 (82)
49K,0,1.26 s,1/2+,+1.3386(8),,,[39K],CLS,2013Pa11,PRL 110 172503 (2013)
51K,0,365 ms,(3/2+),+0.513(2),,,[39K],CLS,2013Pa11,PRL 110 172503 (2013)
39Ca,0,0.86 s,3/2+,1.02168(12),,,,β−NMR,1976Mi05,PL 61B 155 (76)
40Ca,3737,47 ps,3-,+1.6(3),,,,"TFL RIGV,R",1979Ni04/1976Ja16,PRL 43 326 (79)/PR C14 2013 (76)
41Ca,0,51.0x10  y,7/2-,-1.594781(9),,,[2H],N,1962Br30,PRL 9 166 (62)
42Ca,1525,1.1 ps,2+,+0.08(12),,,,TF,2003Sc21,PL B571 29 (03)
43Ca,0,stable,7/2-,-1.3173(6),,,[23Na],OP/RD,1972Ol01,ZP 249 205 (72)
44Ca,1157,3.0 ps,2+,+0.24(10),,,,TF,2003Ta05,PL B571 29 (03)
45Ca,0,165 d,7/2-,-1.3274(14),,,[43Ca],"ABLFS, R",1983Ar25/1981Ar15,ZP A314 303 (83)/HFI 9 159 (81)
46Ca,1.346,4.6 ps,2+,-0.52(12),,,[46Ti 889],TF,2005Ta02,PL B605 265 (05)
47Ca,0,4.5 d,7/2-,-1.38(3),,,[43Ca],ABLFS,1982An15,PR C26 2194 (82)
49Ca,0,,3/2-,-1.38(6),,,,CFBLS,1993VEZY,IoP Phys Conf Ser 132 193 (1992)
41Sc,0,0.59 s,7/2-,+5.431(2) d,,,[12B],β-NMR,1990Mi16,NP A516 365 (90)
43Sc,0,3.89 h,7/2-,+4.528(10),,,[45Sc],CLS,2011AV01,J.Phys.G 38 025104 (2011)
44Sc,0,3.89 h,2+,+2.499(5),,,[45Sc],CLS,2011AV01,J.Phys.G 38 025104 (2011)
45Sc,0,stable,7/2-,+4.756487(2),,,[2H],N,1969Lu01,PL 29A 58 (69)
46Sc,0,83.81 d,4+,+3.042(8),,,[45Sc],CLS,2011AV01,J.Phys.G 38 025104 (2011)
47Sc,0,3.42 d,7/2-,+5.34(2),,,[45Sc],AB,1966Co13,PR 141 1106 (66)
48Sc,0,43.7 h,6+,3.785(12),,,,NMR/ON,2007OH10,HI 180 79 (07)
49Sc,0,57.2 m,7/2-,(+)5.62(3),,,,NMR/ON,2012OH01,PRL 109 032504 (12)
43Ti,0,0.50 s,7/2-,0.85(2),,,,β-NMR,1993Ma67,HFI 78 123 (93)
44Ti,1083,2.75 ps,2+,+1.0(3),,,,TF,2003SC19,PL B567 153 (03)
45Ti,0,3.09 h,7/2-,0.095(2),,,"[47,49Ti]",AB,1966Co19,PR 148 1157 (66)
46Ti,889,5.36 ps,2+,+0.99(5),,,,TF,2000Er06,PR C62 024305 (00)
47Ti,0,stable,5/2-,-0.78848(1),,,[39K],N,1965Dr03,PhMg 12 1061 (65)
48Ti,984,4.29 ps,2+,+0.78(4),,,,TF,2000Er06,PR C62 024305 (00)
49Ti,0,stable,7/2-,-1.10417(1),,,[39K],N,1965Dr03/1953Je16,PhMg 12 1061 (65)/PR 92 1262 (53)
52Ti,1050,3.6 ps,2+,+1.7(4),,,,TF,2006SP02,PL B633 219 (06)
46V,802,1.02 ms,3+,+1.64(3),,,,TDPAD,1982Si15,ZP A309 71 (82)
48V,0,15.94 d,4+,2.012 (11),,,[51V],NMR/ON,1980Bu11,HFI 8 59 (80)
49V,0,330 d,7/2-,4.47(5),,,[51V],EPR,1957We17,BAPS 2 31 (57)
50V,0,171.5x10y,6+,+3.3456889(14),,,[2H],N,1981Ha26,ZP A300 111 (81)
51V,0,stable,7/2-,+5.1487057(2),,,[2H],N,1981Ha26/1951Pr02,ZP A300 111 (81)/PR 81 20 (51)
49Cr,0,41.9 m,5/2-,0.476(3),,,[53Cr],AB,1970Jo27,PS 2 16 (70)
50Cr,783,9.2 ps,2+,+1.24(6),,,,TF,2000Er06,PR C62 024305 (00)
51Cr,0,27.7 d,7/2-,(-)0.934(5),,,[53Cr],AB,1970Ad07,ArkF 40 457 (70)
52Cr,1434,0.707 ps,2+,+2.41(13),,,,TF,2000Er06,PR C62 024305 (00)
53Cr,0,stable,3/2-,-0.47454(3),,,[14N],N,1953Al06,HPAc 26 426 (53)
54Cr,835,8.0 ps,2+,+1.68(11),,,,TF,2001Wa36,PR C64 034320 (01)
50Mn,229,1.75 m,5+,+2.76(1),,,[55Mn],TLS,2010CH15,PL B690 346 (10)
51Mn,0,stable,5/2-,3.5683(13),,,[55Mn],AB,1971Jo10,NP A166 306 (71)
52Mn,,,,,+0.50(7) st,R,[55Mn],NMR/ON,1970Ni11,Phca 50 259 (70)
53Mn,0,63.7x10  y,7/2-,5.035(1),,,[55Mn],TLS,2010CH15,PL B690 346 (10)
54Mn,0,312 d,3+,3.306(1),,,[55Mn],TLS,2010CH15,PL B690 346 (10)
55Mn,0,stable,5/2-,3.4532(13),,,,ENDOR,1971Sa16,CJP 49 2276 (71)
56Mn,0,2.58 h,3+,+3.2266(2),,,[55Mn],"AB, OP/RD",1961Ch05,PR 122 891 (61)
53Fe,741,64 ns,3/2-,-0.386(15),,,,TDPAD,1989Ra17,ARHMI 64 (74)
54Fe,1408,0.80 ps,2+,+1.70(13),,,[56Fe 847] R,"TF, R",2009EA01,PR C79 024304 (09)
55Fe,931,8.3 ps,5/2-,+2.7(12),,,,TDPAD,1973Ke03,CJP 51 707 (73)
56Fe,847,6.9 ps,2+,1.02(11),,,,"TF, R",2009EA01,PR C79 024303 (09)
57Fe,0,stable,1/2-,+0.09044(7),,,,ENDOR,1965Lo11,PR 139 A991 (65)
58Fe,811,6.7 ps,2+,+0.94(5),,,[56Fe 847 R],"TF, R",2009EA01,PR C79 024304 (09)
59Fe,0,44.6 d,3/2-,-0.3358(4),,,,NMR/ON(β),1996Oh02,PR C54 554 (96)
61Fe,861,245 ns,(9/2+),-1.031(9),,,,TDPAD,2004MA80,
55Co,0,17.5 h,7/2-,+4.822(3),,,,NMR/ON,1973Ca06,NP A201 561 (73)/HFI 2 45 (76)
56Co,0,78.8 d,4+,3.85(1),,,[60Co],NMR/ON,1977St36,JP C10 3651 (77)
57Co,0,271 d,7/2-,+4.720(10),,,[60Co],NMR/ON,1972Ni01,JP C10 3651 (77)/Phca 57 1 (72)
58Co,0,70.8 d,2+,+4.044(8),,,[59Co],NMR/ON,1972Ni01,Phca 57 1 (72)
59Co,0,stable,7/2-,+4.627(9),,,,N,1967Wa16/1951Pr02,PR 162 301 (67)/PR 81 20 (51)
60Co,0,5.271 y,5+,+3.799(8),,,[59Co],NMR/ON,1972Ni01,Phca 57 1 (72)
55Ni,0,204 ms,3/2-,(-)0.98(3),,,,β-NMR,2009BE22,PR C79 064305 (09)
57Ni,0,36 h,3/2-,-0.7975(14),,,,NMR/ON(β),1996Oh02,PR C54 554 (96)
58Ni,1454,0.644 ps,2+,+0.076(17),,,,TF,2001KE02,PR C63 021302
59Ni,339,83 ps,5/2-,+0.35(15),,,,IPAD,1974We05,CJP 52 1137 (74)
60Ni,1332,0.713 ps,2+,+0.32(6),,,,TF,2001KE02,PR C63 021302
61Ni,0,stable,3/2-,-0.75002(4),,,[17O],"N, R",1964Dr02/1976Fu06,PL 11 114 (64)/JPCR 5 835 (76)
62Ni,1173,1.43 ps,2+,+0.33(5),,,,TF,2001KE02,PR C63 021302
63Ni,87,1.72 μs,5/2-,+0.752(3),,,[19F 197],TDPAD,1970Bl06,PL 32B 41 (70)
64Ni,1346,0.85 ps,2+,+0.37(6),,,,TF,2001KE02,PR C63 021302 (01)
65Ni,0,2.520 h,5/2-,0.69(6),,,,NO/S,1976Kr09,PR C14 650 (76)
67Ni,0,21 s,1/2-,+0.601(5),,,,NMR/ON(β),2000Ri14,PRL 85 1392 (00)
57Cu,0,196 ms,3/2-,+2.582(7),,,[63Cu],GCLS,2010CO01,PR C81 014314 (10)
58Cu,0,3.2 s,1+,+0.570(2),,,[65Cu],CLS,2011Vi03,PL B703 34 (2011)
59Cu,0,81.5 s,3/2-,+1.8910(9),,,[65Cu],CLS,2011Vi03,PL B703 34 (2011)
60Cu,0,23.4 m,2+,+1.2186(5),,,[65Cu],CLS,2011Vi03,PL B703 34 (2011)
61Cu,0,3.41 h,3/2-,+2.1083(5),,,[65Cu],CLS,2011Vi03,PL B703 34 (2011)
62Cu,0,9.73 m,1+,-0.3796(4),,,[65Cu],CLS,2011Vi03,PL B703 34 (2011)
63Cu,0,stable,3/2-,+2.2236(4),,,[65Cu],CLS,2010VI07,PR C82 064311 (10)
64Cu,0,12.7 h,1+,-0.2164(4),,,[65Cu],CLS,2010VI07,PR C82 064311 (10)
65Cu,0,stable,3/2-,+2.3817(3),,,,AB/D,,"Cf66 Paris, 355 (66)"
66Cu,0,5.1 m,1+,-0.2823(8),,,[65Cu],CLS,2010VI07,PR C82 064311 (10)
67Cu,0,61.83 h,3/2-,+2.5142(6),,,[65Cu],CLS,2010VI07,PR C82 064311 (10)
68Cu,0,31.1 s,1+,+2.3933(6),,,[65Cu],CLS,2010VI07,PR C82 064311 (10)
69Cu,0,2.85 m,3/2-,+2.8383(10),,,[65Cu],CLS,2010VI07,PR C82 064311 (10)
70Cu,0,44.5 s,6-,+1.3666(5),,,[65Cu],CLS,2010VI07,PR C82 064311 (10)
71Cu,0,19.5 s,3/2-,+2.2747(8),,,[65 Cu],LRIS/CLS,2009FL03,PRL 103 142501 (09)
72Cu,0,6.62 s,2-,-1.3472(10),,R,[65Cu],RILIS,2010Fl02,PR C82 041302(R) (10)
73Cu,0,4.2 s,3/2-,+1.7426(8),,,[65 Cu],ISLS/CLS,2009FL03,PRL 103 142501 (2009)
74Cu,0,1.63 s,2-,-1.068(3),,R,[65Cu],RILIS,2010Fl02,PR C82 041302(R) (10)
75Cu,0,1.22 s,5/2-,+1.0062(13),,,[65 Cu],ISLS/CLS,2009FL03,PRL 103 142501 (2009)
76Cu,0,641 ms,(6-),0.0(4),,,[63Cu],ISLS,2011Ko36,PR C84 034320 (2011)
77Cu,0,467 ms,5/2-,+1.61(5),,,[63Cu],ISLS,2011Ko36,PR C84 034320 (2011)
62Zn,954,2.9 ps,2+,+0.7(2),,,,TF,2002Ke02,PR C65 034308 (02)
63Zn,0,38.1 m,3/2-,-0.28164(5),,,[67Zn],OD,1969La05,PR 177 1606 (69)
64Zn,992,1.85 ps,2+,+0.89(6),,,,TF,2005LE12,PR C71 034303 (2005)
65Zn,0,244.1 d,5/2-,+0.7690(2),,,[67Zn],OD,1964By01,PR 134 A47 (64)
66Zn,1039,1.56 ps,2+,+1.06(10),,,,TF,2006LE24,PR C73 064305 (10)
67Zn,0,stable,5/2-,+0.875479(9),,,[1H],"OP/RD, N",1967Sp04,PL 24A 430 (67)
68Zn,1077,1.61 ps,2+,+1.08(6),,,,TF/R,2010Mo14,PR C82 014301 (2010)
69Zn,439,13.72 h,9/2+,1.157(2),,,[65Zn],"NMR/ON, R",1992Be51/1989He05,HFI 75 301 (92)/ZP A332 247 (89)
70Zn,885,3.2 ps,2+,+0.76(4),,,,TF,2009MU06,PR C79 054310 (09)
71Zn,158,3.94 h,9/2+,1.052(6),,,[65Zn],"NMR/ON, R",1992Be51/1989He05,HFI 75 301 (92)/ZP A332 247 (89)
72Zn,653,20 ps,2+,+0.36(34),,,,HVTF,2012Fi02,PR C85 034334 (12)
63Ga,0,32.4 s,3/2-,+0.1469(5),,,[69Ga],CLS,2012Pr11,PR C86 034329 (2012)
66Ga,66,23 ns,2+,1.01(2),,,,"TDPAD, R",1976Le03,NP A258 103 (76)
67Ga,0,78.3 h,3/2-,+1.8507(3),,,"[69,71Ga]",AB,1968Eh02,PR 176 25 (68)
68Ga,0,68.1 m,1+,0.01175(5),,,"[69,71Ga]",AB,1962Eh02,PR 127 529 (62)
69Ga,0,stable,3/2-,+2.01659(5),,,[23Na],N,1954Wa37,ORNL-1775 (54)
70Ga,0,21.1 m,1+,+0.571(2),,,[69Ga],CLS,2011Pr11,PR C86 034329 (2012)
71Ga,0,stable,3/2-,+2.56227(2),,,[23Na],N,1954Wa37,ORNL-1775 (54)
72Ga,0,14.1 h,3-,-0.134(4),,,[71Ga],LRS,2011Ma45,PR C84 024303 (2011)
73Ga,0,4.86 h,3/2-,+0.209(2),,,[71Ga],CLS,2010Ch16,PRL 104 252502 (10)
74Ga,0,8.12 m,if 3-,0.00(8),,,[71Ga],LRS,2011Ma45,PR C84 024303 (2011)
75Ga,0,126 s,3/2-,+1.836(4),,,[71Ga],CLS,2010Ch16,PRL 104 252502 (10)
76Ga,0,32.6 s,(2+),-0.946(4),,,[71Ga],LRS,2011Ma45,PR C84 024303 (2011)
77Ga,0,13.2 s,3/2-,+2.020(3),,,[71Ga],CLS,2010Ch16,PRL 104 252502 (10)
78Ga,0,5.1 s,(2+),-1.215(5),,,[71Ga],LRS,2011Ma45,PR C84 024303 (2011)
79Ga,0,2.85 s,3/2-,+1.047(3),,,[71Ga],CLS,2010Ch16,PRL 104 252502 (10)
80Ga,0?,0.2 - 1.7 s,(3-),-1.425(5),,,[71Ga],CLS,2010Ch50,PR C82 051302(R) (10)
81Ga,0,1.22 s,5/2-,+1.747(5),,,[71Ga],CLS,2010Ch16,PRL 104 252502 (10)
67Ge,752,146 ns,9/2+,-0.849(12),,,[69Ge 398],TDPAD,1991Le31,NIMPR B56/57 851 (91)
68Ge,1016,2.9 ps,2+,+1.1(3),,,,TF,2005LE19,
69Ge,0,39.0 h,5/2-,0.735(7),,,[73Ge],AB,1970Ol02,PR C2 228 (70)
70Ge,1039,1.32 ps,2+,+0.88(8),,,,TF,2013Gu23,PR C88 014301 (2013)
71Ge,0,11.2 d,1/2-,+0.547(5),,,[73Ge],"AB, R",1966Ch02,PR 141 15 (66)/PR C1 750 (70)
72Ge,834,3.29 ps,2+,+0.88(4),,,,TF,2013Gu23,PR C88 014301 (2013)
73Ge,0,stable,9/2+,-0.8794677(2),,,[2H],N,1974Sa25,ZNat 29a 1763 (74)
74Ge,596,12.5 ps,2+,+0.70(2),,,,TF,2013Gu23,PR C88 014301 (2013)
75Ge,0,82.8 m,1/2-,+0.510(5),,,[73Ge],AB,1970Ol02,PR C2 228 (70)
76Ge,563,18.6 ps,2+,+0.64(2),,,,TF,2013Gu23,PR C88 014301 (2013)
68As,2159,37 ns,"(7,8)-",|g|=0.23(2),,,,TDPAD,1986RaZU,BAPS 31 1210 (86)
69As,0,15.2 m,5/2-,+1.623(2),,,,NMR/ON,2005GO44,PR C72 064316 (05)
70As,0,53 m,4+,+2.1061(2),,,[75As],AB,1980Ho02,ZP A294 1 (80)
71As,0,65.3 h,5/2-,(+)1.674(2),,,,NMR/ON,1976He25/1976He06,HFI 2 294 (76)/NP A259 378 (76)
72As,0,26 h,2-,-2.1566(3),,,[75As],AB,1980Ho02,ZP A294 1 (80)
73As,66,5.0 ns,5/2-,+1.63(10),,,,TDPAC,1963Bo26,PL 6 290 (63)
74As,0,17.8 d,2-,-1.597(3),,,[75As],NMR/ON,1972Ka35,NP A193 410 (72)
75As,0,stable,3/2-,+1.43948(7),,,[2H],N,1953Ti01/1952Je05,PR 89 595 (53)/PR 85 478 (53)
76As,0,26.3 h,2-,(-)0.9028(10),,,[75As],NMR/ON(β),1999Oh01,PR C59 669 (99)
77As,0,38.8 h,3/2-,+1.2946(13),,,[75As],NMR/ON(β),1999Oh01,PR C59 669 (99)
70Se,945,1.5 ps,2+,,prolate shape,,,CER,2007HU03,PRL 98 072501 (07)
73Se,0,7.1 h,9/2+,0.892(13),,,,NMR/ON,2001St31,HFI 133 117 (2001)
74Se,635,7.08 ps,2+,+0.86(5),,,[82Se 654],TF,1998SP03,PR C57 2181 (98)
75Se,0,118.5 d,5/2+,0.683(10),,,,NMR/ON,2001ST31,Hyp Int 133 117 (2001)
76Se,559,12.3 ps,2+,+0.80(5),,,[82Se 654],TF,1998Sp03,PR C57 2181 (98)
77Se,0,stable,1/2-,+0.5350422(6),,,[23Na],N,1978Ko39/1953We51,ZNat 33a 1025 (78)/ PR 89 923 (53)
78Se,614,8.6 ps,2+,+0.77(5),,,[82Se 654],TF,1998Sp03,PR C57 2181 (98)
79Se,0,4<6.5x10  y,7/2+,-1.018(15),,,,MA,1953Ha50,PR 92 1532 (53)
80Se,666,8.0 ps,2+,+0.87(5),,,[82Se 654],TF,1998Sp03,PR C57 2181 (98)
82Se,654,11.3 ps,2+,+0.99(6),,,,TF,1978Br38,HFI 4 268 (78)
72Br,0,79 s,(3+),0.60(10),,,,NO/S,1992Ba68,HFI 75 433 (92)
73Br,241,34.7 ns,3/2-,1.97(13),,,,TDPAD,1987He27,PR C36 2409 (87)
74Br,14,46 m,4(+),1.68(18),,,,NO/S,1992Gr20,PR C46 2228 (92)
75Br,0,97 m,3/2-,0.76(18),,,,NO/S,1992Gr20,PR C46 2228 (92)
76Br,0,16.1 h,1-,0.54821(2),,,"[79,81Br]",AB,1960Li11,PR 119 1053 (60)
77Br,0,57 h,3/2-,0.92(5),,,,NO/S,1992Gr20,PR C46 2228 (92)
78Br,0,6.46 m,1+,0.13(3),,,,NO/S,1992Pr06,HFI 75 275 (92)
79Br,0,stable,3/2-,+2.106400(4),,,[2H],N,1972Bl07,ZNat 27a 72 (72)
80Br,0,17.6 m,1+,0.5140(6),,,"[79,81Br]",AB,1964Wh05,PR 136 B584 (64)
81Br,0,stable,3/2-,+2.270562(4),,,[2H],N,1972Bl07,ZNat 27a 72 (72)
82Br,0,35.3 h,5-,+1.6270(5),,,"[79,81Br]",AB,1959Ga12,PR 116 393 (59)
84Br,0,31.8 m,2-,1.9(7),,,,NO/S,1992Pr06,HFI 75 275 (92)
76Kr,424,17 ps,2+,+0.7(2),,,,TF,2004KU11,PL B591 213 (04)
77Kr,0,74.4 m,5/2+,-0.583(3) d,,,[83Kr],CFBLS,1995Ke04,NP A586 219 (95)
78Kr,455,17 ps,2+,+0.86(2),,,,TF,2004KU11,PL B591 213 (04)
79Kr,0,35.04 h,1/2-,+0.536(2) d,,,[83Kr],CFBLS,1995Ke04,NP A586 219 (95)
80Kr,617,8.1 ps,2+,+0.76(10),,,,TF,2001Me20,PR C64 024314 (01)
81Kr,0,2.3 x 10*5 y,7/2+,-0.908(2) d,,,[83Kr],CFBLS,1995Ke04,NP A586 219 (95)
82Kr,777,4.5 ps,2+,+0.80(4),,,,TF,2001Me20,PR C64 024314 (01)
83Kr,0,stable,9/2+,-0.970669(3),,,[39K],"N, AB",1968Br16/1946Ke05,PL 27A 466 (68)/RMP 18 323 (46)
85Kr,0,10.76 y,9/2+,-1.005(2) d,,,[83Kr],CFBLS,1995Ke04,NP A586 219 (95)
86Kr,1565,0.26 ps,2+,+2.2(3),,,,TF,2001Me20,PR C64 024314 (01)
87Kr,0,76.3 m,5/2+,-1.023(2) d,,,[83Kr],CFBLS,1995Ke04,NP A586 219 (95)
89Kr,0,3.15 m,3/2+,-0.330(3) d,,,[83Kr],CFBLS,1995Ke04,NP A586 219 (95)
91Kr,0,8.57 s,5/2+,-0.583(2) d,,,[83Kr],CFBLS,1995Ke04,NP A586 219 (95)
93Kr,0,1.286 s,1/2+,-0.413(2) d,,,[83Kr],CFBLS,1995Ke04,NP A586 219 (95)
94Kr,666,8.7 ps,2+,,-0.5(3),R,,CER,2012Al03,PRL 108 062701 (2012)
95Kr,0,0.78 s,1/2+,-0.410(3) d,,,[83Kr],CFBLS,1995Ke04,NP A586 219 (95)
96Kr,554,12.4 ps,2+,,0.3(9),,,CER,2012Al03,PRL 108 062701 (2012)
76Rb,0,39 s,1(-),-0.3726228(14),,,[87Rb],ABLS,1986Du16/1981Th04,JPPa 47 1903 (86)/PR C23 2720 (81)
77Rb,0,3.8 m,3/2-,+0.6544680(16),,,[87Rb],ABLS,1986Du16/1981Th04,JPPa 47 1903 (86)/PR C23 2720 (81)
78Rb,103,6.3 m,4-,+2.549(2),,,[87Rb],ABLS,1981Th04,PR C23 2720 (81)
79Rb,0,23 m,5/2+,+3.3579(12),,,[87Rb],ABLS,1981Th04,PR C23 2720 (81)
80Rb,0,30 s,1+,-0.0836(6),,,,"OP/RD,R",1978Ek04,NP A311 269(78)
81Rb,0,4.58 h,3/2-,+2.0595(14),,,[87Rb],ABLS,1981Th04,PR C23 2720 (81)
82Rb,0,1.25 m,1+,+0.5545083(11),,,[87Rb],ABLS,1986Du16/1981Th04,JPPa 47 1903 (86)/PR C23 2720 (81)
83Rb,0,86.2 d,5/2-,+1.4249(8),,,[87Rb],ABLS,1981Th04,PR C23 2720 (81)
84Rb,0,33 d,2-,-1.324116(2),,,[87Rb],AB,1962Kh02,BAPS 7 476 (62)
85Rb,0,stable,5/2-,+1.35298(10),,,,ABLS,1993Du08,NIMPR A325 465 (93)
86Rb,0,18.65 d,2-,-1.6920(14),,,,AB/D,1961Br16,PR 123 1801 (61)
87Rb,0,4.9 10*10y,3/2-,+2.75131(12),,,,ABLS,1993Du08,NIMPR A325 465 (93)
88Rb,0,17.7 m,2-,0.508(5),,,[85Rb],AB,1968Va03,PR 166 1131 (68)
89Rb,0,15.2 m,3/2-,+2.3836(7),,,[87Rb],ABLS,1981Th04,PR C23 2720 (81)
90Rb,107,4.26 m,3-,+1.6160(6),,,[87Rb],ABLS,1981Th04,PR C23 2720 (81)
91Rb,0,58 s,3/2(-),+2.1815(15),,,[87Rb],ABLS,1981Th04,PR C23 2720 (81)
93Rb,0,5.85 s,5/2-,+1.410(2),,,[87Rb],ABLS,1981Th04,PR C23 2720 (81)
94Rb,0,2.73 s,3(-),+1.498(2),,,[87Rb],ABLS,1981Th04,PR C23 2720 (81)
95Rb,0,0.38 s,5/2-,+1.334(3),,,[87Rb],ABLS,1981Th04,PR C23 2720 (81)
96Rb,0,0.20 s,2+,+1.466(2),,,[87Rb],ABLS,1981Th04,PR C23 2720 (81)
97Rb,0,0.17 s,3/2-,+1.841(2),,,[87Rb],ABLS,1981Th04,PR C23 2720 (81)
77Sr,0,9 s,5/2+,-0.348(4),,,[87Sr],CFBLS,1992Li11,PR C46 797 (92)
79Sr,0,2.25 m,(3/2-),-0.474(4),,,[87Sr],CFBLS,1990Bu12,PR C41 2883 (90)
81Sr,0,22.3 m,1/2-,+0.543(4),,,[87Sr],CFBLS,1990Bu12,PR C41 2883 (90)
82Sr,573,8.9 ps,2+,+0.94(16),,,,TF,2008YU04/2010FA08,Chin Phys Lett 25 3617 (08)/NP A834 107c (2010)
83Sr,0,32.4 h,7/2+,-0.829(2),,,[87Sr],CFBLS,1990Bu12,PR C41 2883 (90)
84Sr,793,2.9 ps,2+,+0.96(2),,,,TF,2012Ku14,PR C85 044322 (12)
85Sr,0,64.8 d,9/2+,-1.000(2),,,[87Sr],CFBLS,1990Bu12,PR C41 2883 (90)
86Sr,1077,1.4 ps,2+,+0.57(3),,,,TF,2012Ku14,PR C85 044322 (12)
87Sr,0,stable,9/2+,-1.0928(7),,,[23Na],OP/RD,1972Ol01,ZP 249 205 (72)
88Sr,1836,0.15 ps,2+,+2.4(2),,,,TF,2012Ku14,PR C85 044322 (12)
89Sr,0,50.5 d,5/2+,-1.147(2),,,[87Sr],CFBLS,1990Bu12,PR C41 2883 (90)
91Sr,0,9.5 h,5/2+,-0.885(2),,,[87Sr],CFBLS,1990Bu12,PR C41 2883 (90)
93Sr,0,7.4 m,5/2+,-0.793(2),,,[87Sr],CFBLS,1990Bu12,PR C41 2883 (90)
95Sr,0,10.3 m,1/2-,-0.537(2),,,[87Sr],CFBLS,1990Bu12,PR C41 2883 (90)
97Sr,0,0.40 s,1/2-,-0.498(2),,,[87Sr],CFBLS,1990Bu12,PR C41 2883 (90)
98Sr,144,2.8 ns,2+,0.76(14),,,,IPAC,1989Wo05,PR C40 932 (89)
99Sr,0,0.269 s,3/2+,-0.261(5),,,"[88,98Sr]",CFBLS,1991Li05,PL B256 141 (91)
83Y,145,119 ps,(7/2+),+2.1(6),,,,IMPAD,1990Bh03,HFI 59 109 (90)
84Y,112,79 ns,(4+),+2.31(3),,,,TDPAD,2005IO02,PR C72 044313 (05)
85Y,20,4.9 h,9/2+,6.2(5),,,[87Y 381],NO/S,1988Be46,HFI 43 477 (88)
86Y,0,14.5 h,4-,<0.6,,,[87Y 381],NO/S,1988Be46,HFI 43 477 (88)
87Y,0,79.8 h,1/2-,-0.19(2),,,[89Y],CLS,2007Ch07,PL B645 133 (07)
88Y,0,,4-,-0.42(1),,,[89Y],CLS,2007Ch07,PL B645 133 (07)
89Y,0,stable,1/2-,-0.1374154(3),,,[2H],N,1977Ha12,ZP A280 117 (77)
90Y,0,64.1 h,2-,-1.630(8),,,[89Y],AB,1962Pe01,PR 125 284 (62)
91Y,0,58.5 d,1/2-,0.1641(8),,,[89Y],AB,1962Pe21,PR 128 1740 (62)
92Y,0,3.54 h,2-,-0.67(2),,,[89Y],CLS,2007Ch07,PL B645 133 (07)
93Y,0,10.2 h,1/2-,-0.12(3),,,[89Y],CLS,2007Ch07,PL B645 133 (07)
94Y,0,18.7 m,2-,-0.24(2),,,[89Y],CLS,2007Ch07,PL B645 133 (07)
95Y,0,10.3 m,1/2-,-0.16(3),,,[89Y],CLS,2007Ch07,PL B645 133 (07)
96Y,1140,9.6 s,8+,+6.57(3),,,[89Y],CLS,2007Ch07,PL B645 133 (07)
97Y,0,3.75 s,1/2-,-0.12(1),,,[89Y],CLS,2007Ch07,PL B645 133 (07)
98Y,410,2.0 s,4 or 5,+ 2.98(2) or + 3.11(2),,,[89Y],CLS,2007Ch07,PL B645 133 (07)
99Y,0,1.47 s,5/2+,+3.18(2),,,[89Y],CLS,2007Ch07,PL B645 133 (07)
100Y,(143),0.94 s,4,+2.75(1),,,[89Y],CLS/R,2007Ch07/2010BA31,PL B645 133 (07)/J Phys G37 105103 (10)
101Y,0,0.45 s,5/2+,+3.22(2),,,[89Y],CLS,2007Ch07,PL B645 133 (07)
102Y,0 + x,0.3 s,2 or 3,+2.34(5) or + 2.68(1),,,[89Y],CLS,2007Ch07,PL B645 133 (07)
84Zr,540,14.1 ps,2+,+0.5(7),,,,CRDTF,1999Te02,PR C59 1943 (99)
85Zr,2625,-,(17/2-),+11(4),,,,TF,2007YU03,HI 180 49 (2007)
86Zr,-,-,5-/7-/9-,g(avge) = +0.5(2),,,,TF,1995Mo02,PR C51 513 (95)
87Zr,0,1.68 h,9/2+,-0.895(5),,,[91Zr],CLS,2003TH03,JP G29 2247 (03)
88Zr,1057,2.5 ps,2+,+0.6(2),,,,TF,2012Ku14,PR C85 044322 (12)
89Zr,0,78.4 h,9/2+,-1.046(6),,,[91Zr],CLS,2002Fo12,JP G28 L63 (02)
90Zr,2186,0.087 ps,2+,+2.5(4),,,,TF,2000Ja11,PL B494 187 (00)
91Zr,0,stable,5/2+,-1.30362(2),,,[2H],N,1957Br26,PR 105 1929 (57)
92Zr,934,4.85 ps,2+,-0.36(4),,,,TF,2008WE07,PRC C78 031301(R) (08)
94Zr,918,7.3 ps,2+,0.68(4),,,,TF,2008WE07,PRC C78 031301(R) (08)
95Zr,0,64.0 d,5/2+,1.13(2),,,,NMR/ON,1991Be18,PR C44 104 (91)
96Zr,1750,0.57 ps,2+,+0.06(14),,,,TF,2003Ku11,PL B562 193 (03)
97Zr,0,16.8 h,1/2+,-0.937(5),,,[91Zr],CLS,2003TH03,JP G29 2247 (03)
99Zr,0,2.2 s,1/2+,-0.930(4),,,[91Zr],CLS,,
100Zr,213,0.61 ns,2+,+0.60(6),,,,IPAC,2004SM04,PL B591 55 (04)
