energy,configuration,term,J,gJ,linewidth
4.47×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<7/2>),Ionization Limit,3,1.39,
4.48×10⁴ c·h/cm,4f14.6p2,3P2,2,1.34,
4.48×10⁴ c·h/cm,4f13.(2F*<5/2>).6s2.6p<3/2>,"(5/2,3/2)1",1,0.66,
4.5×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<3/2>),"(7/2,3/2)4",4,1.08,
4.51×10⁴ c·h/cm,4f14.6s.9s,3S1,1,1.98,
4.52×10⁴ c·h/cm,,Ionization Limit,2,0.98,
4.52×10⁴ c·h/cm,,Ionization Limit,1,1.28,
4.53×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (2D*<5/2>),Ionization Limit,2,1.3,
4.54×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<5/2>),Ionization Limit,5,1.17,
4.55×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<3/2>),"(7/2,3/2)3",3,1.2,
4.55×10⁴ c·h/cm,4f13.(2F*<5/2>).6s2.6p<3/2>,"(5/2,3/2)4",4,0.0,
4.56×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<7/2>),"(7/2,7/2)1",1,1.19,
4.58×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<5/2>),Ionization Limit,4,1.14,
4.59×10⁴ c·h/cm,4f13.(2F*<5/2>).6s2.6p<3/2>,"(5/2,3/2)2",2,0.0,
4.6×10⁴ c·h/cm,4f14.6s.6f,3F2*,2,0.72,
4.61×10⁴ c·h/cm,4f14.6s.9p,3P1*,1,1.34,
4.61×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<7/2>),"(7/2,7/2)0",0,0.0,
4.61×10⁴ c·h/cm,4f14.6s.9p,3P0*,0,0.0,
4.62×10⁴ c·h/cm,,Ionization Limit,1,1.22,
4.62×10⁴ c·h/cm,4f14.6s.9p,3P2*,2,1.5,
4.63×10⁴ c·h/cm,,Ionization Limit,3,1.15,
4.64×10⁴ c·h/cm,4f14.6s.9p,1P1*,1,1.07,
4.64×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4D*<1/2>),Ionization Limit,3,1.35,
